Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Идентификатор_родителя
81302191;Комплексы для улучшения пищеварения;Комплекси для поліпшення травлення;;136262425;81301939
81302196;Бетаин HCL (Триметилглицин);Бетаїн HCL (Триметилгліцин);;136262425;81301939
81302205;Пробиотики;Пробіотики;;136262425;81301939
81302209;Клетчатка;Клітковина;;136262425;81301939
81302214;Ферменты и энзимы;Ферменти та ензими;;136262425;81301939
81302218;БАДы для нормализации уровня сахара;БАДи для нормалізації рівня цукру;;136262425;81301939
81302566;Комплексы детоксикации;Комплекси детоксикації;;113587347;
81302569;Силимарин (Расторопша);Силімарин (Розторопша);;113587347;
81302850;Сердце и сосуды;Серце та судини;;136052335;
81302854;Комплексы поддержки здоровья сердца и сосудов;Комплекси підтримки здоров'я серця й судин;;81302850;
81303507;Артериальное давление;Артеріальний тиск;;81302850;
81303512;Снижение уровня холестерина;Зниження рівня холестерину;;81302850;
81303514;Наттокиназа;Наттокиназа;;81302850;
81303660;Иммунитет;Імунітет;;136052335;
81303668;Комплексы для иммунитета;Комплекси для імунітету;;81303660;
81303670;Колострум;Колострум;;81303660;
81304097;Эхинацея;Ехінацея;;81303660;
81304098;Витамин С;Вітамін С;;136052057;
81304107;Бузина;Бузина;;81303660;
81304145;Почки и мочеполовая система;Нирки та сечостатева система;;136052335;
81304146;Комплексы поддержки;Комплекси підтримки;;81304145;
81304148;Манноза;Маноза;;81304145;
81304179;Клюква;Журавлина;;81304145;
81304217;Память и работа мозга;Пам'ять і робота мозку;;136052335;
81304218;Концентрация и внимание;Концентрація та увага;;81304217;
81304220;Улучшение памяти;Поліпшення пам'яті;;81304217;
81304224;Против стресса;Проти стресу;;81304217;
81304230;Фосфолипиды;Фосфоліпіди;;81304217;
81304233;ДМАЭ;ДМАЕ;;81304217;
81304235;Гинкго Билоба;Гінкго Білоба;;81304217;
81304240;Зрение и здоровье глаз;Бади для зору і здоров'я очей;;136052335;
81304247;Комплексы защиты зрения;Комплекси захисту зору;;81304240;
81304331;Астаксантин;Астаксантин;;81304240;
81304336;Комплексы для улучшения сна;Комплекси для поліпшення сну;;136262458;81304333
81304512;Здоровье щитовидной железы;Бади для щитовидної залози;;136052335;
81304531;Комплексы для волос, ногтей и кожи;Комплекси для волосся, нігтів і шкіри;;136262461;81304525
81304538;Коллаген;Колаген;;136052057;
81304583;Биотин;Біотин;;136277486;81150100
81304983;Антиоксиданты;Антиоксиданти;;136052335;
81304990;Альфа Липоевая кислота;Альфа Ліпоєва кислота;;81304983;
81305806;Глутатион;Глутатіон;;81304983;
81305826;Индол-3-карбинол;Індол-3-карбінол;;81304983;
81306097;Кверцетин;Кверцетин;;81304983;
81306188;Пирролохинолинхинон (PQQ);Пирролохинолинхинон (PQQ);;81304983;
81306192;Рутин;Рутин;;81304983;
81306460;Профилактика;Профілактика;;136052335;
81306652;Аллергия;Алергія;;81306460;
81306658;Кандидоз, молочница;Кандидоз, молочниця;;81306460;
81306727;Простуда, грипп, ОРВИ;Простий, грип, ГРВІ;;81306460;
81306770;Продукты пчеловодства;Продукти бджільництва;;136052335;
81306789;Суперфуды;Суперфуди;;136052335;
81306794;Спирулина;Спіруліна;;81306789;
81306855;Хлорелла;Хлорела;;81306789;
81307798;Масла;Масла;;136054110;
81510477;Уход за кожей вокруг глаз;Догляд за шкірою навколо очей;;136052440;
81510820;Сыворотка для лица;Сироватка для обличчя;;72958748;
81510839;Крем для лица;Крем для обличчя;;72958748;
81511592;Тоник для лица;Тонік для обличчя;;72958748;
81511596;Маска для лица;Маска для обличчя;;72958748;
82051787;Комплексы поддержки печени;Комплекси підтримки печінки;;113587347;
82092058;Гель для лица;Гель для обличчя;;72958748;
82092059;Пилинг и скраб для лица;Пілінг і скраб для обличчя;;72958748;
82092063;Средства для снятия макияжа;Засоби для зняття макіяжу;;72958748;
82092076;Шампунь для волос;Шампунь для волосся;;72958753;
82092225;Крем для тела;Крем для тіла;;72958756;
82092316;Масло для тела;Олія для тіла;;72958756;
82321360;Масло для волос;Олія для волосся;;72958753;
82321372;Кондиционер для волос;Кондиціонер для волосся;;72958753;
82321377;Маска для волос;Маска для волосся;;72958753;
82321647;Спрей и блеск для волос;Спрей і блиск для волосся;;72958753;
82321664;Уход за ногами;Догляд за ногами;;136052683;
82321728;Лосьон и молочко для тела;Лосьйон для тіла та молочко для тіла;;72958756;
82321756;Дезодоранты;Дезодоранти;;72958756;
82321919;Средства от солнца и для загара;Засоби від сонця та для засмаги;;72958756;
82411616;Тональный крем;Тональний крем;;113590269;
82411699;Основа для макияжа;Основа для макіяжу;;113590269;
82412579;Бальзам для губ;Бальзам для губ;;113590279;
86108200;Антисептик для рук;Антисептик для рук;;136061701;
88509946;Сахарозаменители;Цукрозамінники;24754185;136054110;
104050699;Арахисовая паста;Арахісова паста;;81148530;
104051090;Омега-3 для детей;Омега-3 для дітей;;81301337;
106661030;Коллаген 1 и 3 типа;Колаген 1 і 3 типу;;81304538;
106661032;Коллаген 2 типа (для суставов);Колаген 2 типу (для суглобів);;81304538;
109244230;Куркумин;Куркумін;;136262425;81301939
109245072;Омега 3;Омега 3;;81301337;
109246145;Морской (рыбный) коллаген, Marine/Fish Collagen;Морський (рибний) колаген, Marine/Fish Collagen;;81304538;
109246150;Витамины с коллагеном;Вітаміни з колагеном;;81304538;
109251156;Ресвератрол;Ресвератрол;;81304983;
109302113;Глицин;Гліцин;;136262458;81304333
109302272;Лизин;Лизин;;75756682;
109302443;Таурин;Таурін;;81302850;
109302462;Тирозин;Тірозин;;75756682;
111460362;Женское термобелье;Жіноча термобілизна;;136054312;
111460364;Мужское термобелье;Чоловіча термобілизна;;136054312;
111460366;Детское термобелье;Дитяча термобілизна;;136054312;
113587347;Печень и детоксикация;Печінка та детоксикація;;136052335;
113590269;Макияж лица;Макіяж обличчя;;136052440;
113590279;Макияж для губ;Макіяж для губ;;136052440;
127013290;Средства для уборки;Засоби для прибирання;123293524;136061701;
127013305;Мужская косметика;Чоловіча косметика;123289654;136052440;
127013306;Косметика уход для детей;Косметика догляд для дітей;123289653;136052440;
127013316;Крем и бальзам для тела и рук;Крем і бальзам для тіла та рук;123289667;136052683;
128526316;Эфирные масла;Ефірні олії;;136052440;
128691153;Лютеин;Лютеїн;;81304240;
129024541;Веганское спортивное питание;Веганське спортивне харчування;;136052686;
130794360;Берберин;Берберин;;81302218;
130794385;Хитозан;Хітозан;;136262533;136052361
130794460;Хлорофилл;Хлорофіл;;81306789;
130794500;Артишок;Артишок;;113587347;
130795215;Ашваганда;Ашваганда;;136052351;
130795534;Кошачий коготь;Котячий кіготь;;136052351;
130795540;Женьшень;Женьшень;;81304983;
130795781;Бета-глюканы;Бета-глюкани;;81303660;
130797698;Ликопин;Лікопін;;81304240;
130797999;ДГЭА;ДГЕА;;81304512;
130803610;Со Пальметто;Со Пальметто;;81304240;
130829284;Инозитол В8;Інозитол В8;;136277486;81150100
132918434;Протеин без лактозы;Протеїн без лактози;;75771810;
136047878;SAMe (Аденозилметионин);SAMe (Аденозилметіонін);;81304217;
136052057;ВИТАМИНЫ И МИНЕРАЛЫ;ВІТАМІНИ ТА МІНЕРАЛИ;;;
136052179;Стронций;Стронцій;;136052057;
136052185;Витамин P;Вітамін P;;136052057;
136052191;Ванадий;Ванадій;;136052057;
136052193;Витаминные капельницы;Вітамінні крапельниці;;136052057;
136052194;Сырые витамины;Сирі вітаміни;;81148963;
136052199;Витамины для всей семьи;Вітаміни для всієї родини;;136052057;
136052335;БАДЫ;БАДИ;;;
136052347;Детокс добавки;Детокс добавки;;136052335;
136052351;Адаптогены;Адаптогени;;136052335;
136052352;Йохимбе;Йохимбе;;136052335;
136052353;Грибы;Гриби;;136052335;
136052429;Лецитин;Лецитин;;136052335;
136052440;КОСМЕТИКА;КОСМЕТИКА;;;
136052647;Пептидная косметика;Пептидна косметика;;136052440;
136052650;Натуральная органическая косметика;Натуральна органічна косметика;;136052440;
136052671;Антивозрастная косметика;Антивікова косметика;;136052440;
136052673;Уход за губами;Догляд за губами;;136052440;
136052683;Уход за руками и ногами;Догляд за руками та ногами;;136052440;
136052686;СПОРТИВНОЕ ПИТАНИЕ;СПОРТИВНЕ ХАРЧУВАННЯ;;;
136052690;Препараты для повышения тестостерона;Препарати для підвищення тестостерону;;136052686;
136052692;Энергетики;Енергетики;;136052686;
136053821;АППЛИКАТОР КУЗНЕЦОВА;АПЛІКАТОР КУЗНЄЦОВА;;;
136054110;ПРОДУКТЫ;ПРОДУКТИ;;;
136054312;ТЕРМОБЕЛЬЕ;ТЕРМОБІЛИЗНА;;;
136054371;Родиола;Родіола;;81304217;
136054373;Корица;Кориця;;81302218;
136054376;Корень одуванчика;Корінь кульбаби;;113587347;
136054379;Пикногенол;Пікногенол;;136262461;81304525
136054380;Экстракт Бамбука;Екстракт Бамбука;;136262461;81304525
136054382;Бакопа;Бакопа;;81304217;
136054387;Теанин;Теанін;;136262458;81304333
136054391;Пантетин;Пантетін;;113587347;
136054727;Крушина;Крушина;;136262425;81301939
136054990;B-50 комплексы;B-50 комплекси;;136277486;81150100
136055003;B-100 комплексы;B-100 комплекси;;136277486;81150100
136055018;Цитрусовые биофлавоноиды;Цитрусові біофлавоноїди;;81303660;
136055046;Готу кола;Готу кола;;81304217;
136055050;Босвелия;Босвелія;;81301367;
136055063;Ежовик;Їжовик;;136052353;
136055064;Чага;Чага;;136052353;
136055066;Шиитаке;Шиітаке;;136052353;
136055074;Кордицепс;Кордіцепс;;136052353;
136055976;Соли для ванн;Солі для ванн;;136052440;
136055988;Витамин D для новорожденных;Вітамін D для новонароджених;;81150201;
136058551;Варикоз;Варикоз;;81306460;
136058564;Каротиноиды;Каротиноїди;;81304983;
136059407;Изотоники;Ізотоніки;;81149986;
