Номер_группы;Название_группы
81150120;Витамин В12
81150122;Коэнзимный витамин В
81150124;Комплекс витаминов группы В
81150201;Витамины D
81150472;Витамин D для взрослых
81150473;Масляный витамин D
81150476;Кальций и витамин D
81150477;Витамин D3 + К2
81150479;Витамин E
81150481;Токоферол
81150489;Витамин K
81160304;Бор
81160308;Железо
81160312;Йод
81160398;Калий
81160401;Кремний
81160408;Кальций
81160413;Магний
81160414;Магний + B6
81160433;Медь
81160436;Молибден
81160440;Селен
81160449;Хром
81160451;Цинк
81160454;Комплексы микроэлементов
81301324;Гиалуроновая кислота
81301328;Коэнзим Q10 и Убихинол
81301337;Омега 3 (Рыбий жир)
81301338;Омега 3-6-9 (комплексы)
81301363;Омега для вегетарианцев
81301367;Кости и суставы
81301567;Комплексы для здоровья суставов
81301610;Комплексы для здоровья костей
81301615;Глюкозамин и Хондроитин
81301634;Акулий жир и хрящ
81301939;Пищеварение
81302191;Комплексы для улучшения пищеварения
81302196;Бетаин HCL (Триметилглицин)
81302205;Пробиотики
81302209;Клетчатка
81302214;Ферменты и энзимы
81302218;БАДы для нормализации уровня сахара
81302566;Комплексы детоксикации
81302569;Силимарин (Расторопша)
81302850;Сердце и сосуды
81302854;Комплексы поддержки здоровья сердца и сосудов
81303507;Артериальное давление
81303512;Снижение уровня холестерина
81303514;Наттокиназа
81303660;Иммунитет
81303668;Комплексы для иммунитета
81303670;Колострум
81304097;Эхинацея
81304098;Витамин С
81304101;Чеснок
81304107;Бузина
81304145;Почки и мочеполовая система
81304146;Комплексы поддержки
81304148;Манноза
81304179;Клюква
81304217;Память и работа мозга
81304218;Концентрация и внимание
81304220;Улучшение памяти
81304224;Против стресса
81304230;Фосфолипиды
81304233;ДМАЭ
81304235;Гинкго Билоба
81304240;Зрение и здоровье глаз
81304247;Комплексы защиты зрения
81304331;Астаксантин
81304333;Улучшение сна
81304336;Комплексы для улучшения сна
81304512;Здоровье щитовидной железы
81304525;Кожа, волосы, ногти
81304531;Комплексы для волос, ногтей и кожи
81304538;Коллаген
81304583;Биотин
81304983;Антиоксиданты
81304990;Альфа Липоевая кислота
81305806;Глутатион
81305826;Индол-3-карбинол
81305963;N-ацетилцистеин
81306097;Кверцетин
81306188;Пирролохинолинхинон (PQQ)
81306192;Рутин
81306460;Профилактика
81306652;Аллергия
81306658;Кандидоз, молочница
81306727;Простуда, грипп, ОРВИ
81306770;Продукты пчеловодства
81306789;Суперфуды
81306794;Спирулина
81306795;Ламинария
81306855;Хлорелла
81307798;Масла
81510477;Уход за кожей вокруг глаз
81510820;Сыворотка для лица
81510839;Крем для лица
81511592;Тоник для лица
81511596;Маска для лица
82051787;Комплексы поддержки печени
82092058;Гель для лица
82092059;Пилинг и скраб для лица
82092063;Средства для снятия макияжа
82092076;Шампунь для волос
82092195;Косметические наборы
82092225;Крем для тела
82092316;Масло для тела
82321360;Масло для волос
82321372;Кондиционер для волос
82321377;Маска для волос
82321647;Спрей и блеск для волос
82321664;Уход за ногами
82321728;Лосьон и молочко для тела
82321756;Дезодоранты
82321919;Средства от солнца и для загара
82411616;Тональный крем
82411699;Основа для макияжа
82412579;Бальзам для губ
86108200;Антисептик для рук
88509946;Сахарозаменители
104050699;Арахисовая паста
104051090;Омега-3 для детей
106661030;Коллаген 1 и 3 типа
106661032;Коллаген 2 типа (для суставов)
109244230;Куркумин
109245072;Омега 3
109246145;Морской (рыбный) коллаген, Marine/Fish Collagen
109246150;Витамины с коллагеном
109251156;Ресвератрол
109297834;Кальций, магний, цинк
109302113;Глицин
109302272;Лизин
109302443;Таурин
109302462;Тирозин
111460362;Женское термобелье
111460364;Мужское термобелье
111460366;Детское термобелье
113587347;Печень и детоксикация
113590269;Макияж лица
113590279;Макияж для губ
