Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Ссылка_изображения_группы
81149489;Витамины для женщин после 30;Вітаміни для жінок після 30;;81149480;https://images.prom.ua/3229004266_vitaminy-dlya-zhenschin.jpg
81149493;Витамины для женщин после 50;Вітаміни для жінок після 50;;81149480;https://images.prom.ua/6193119515_vitaminy-dlya-zhenschin.jpg
81149531;Витамины для женщин после 40;Вітаміни для жінок після 40;;81149480;https://images.prom.ua/3890397725_vitaminy-dlya-zhenschin.jpg
81149534;Комплекс витаминов для женщин;Комплекс вітамінів для жінок;;81149480;https://images.prom.ua/3229006633_kompleks-vitaminov-dlya.jpg
81149539;Витамины для беременных и кормящих;Вітаміни для вагітних і жінок, які годують груддю;;81149480;https://images.prom.ua/2133436213_vitaminy-dlya-beremennyh.jpg
81149642;Витамины для вегетарианцев;Вітаміни для вегетаріанців;;136052057;https://images.prom.ua/2133438991_vitaminy-dlya-vegetariantsev.jpg
81149986;Витамины для энергии;Вітаміни для енергії;;136052057;https://images.prom.ua/2133443372_vitaminy-dlya-energii.jpg
81149989;Витамины А;Вітаміни А;;136052057;https://images.prom.ua/2133457289_vitaminy-a.jpg
81149997;Витамин А ретинол;Вітамін А ретинол;;81149989;https://images.prom.ua/3229019009_vitamin-a-retinol.jpg
81150000;Витаминные комплексы A D E;Вітамінні комплекси A D E;;81149989;https://images.prom.ua/6167720863_vitaminnye-kompleksy-a.jpg
81150100;Витамины В;Вітаміни В;;136052057;https://images.prom.ua/2133460857_vitaminy-v.jpg
81150101;Витамин В1 (Тиамин);Вітамін В1 (Тіамін);;81150100;https://images.prom.ua/3229020977_vitamin-v1-tiamin.jpg
81150106;Витамин В2 (Рибофлавин);Вітамін В2 (Рибофлавін);;81150100;https://images.prom.ua/3229022655_vitamin-v2-riboflavin.jpg
81150108;Витамин В3;Вітамін В3;;81150100;https://images.prom.ua/3229023851_vitamin-v3.jpg
81150111;Холин (Витамин В4);Холін (Вітамін В4);;81150100;https://images.prom.ua/3229025365_holin-vitamin-v4.jpg
81150112;Витамин В5 (Пантотеновая кислота);Вітамін В5 (Пантотенова кислота);;81150100;https://images.prom.ua/3229027579_vitamin-v5-pantotenovaya.jpg
81150115;Витамин В6 (Пиридоксин);Вітамін В6 (Піридоксин);;81150100;https://images.prom.ua/3229028639_vitamin-v6-piridoksin.jpg
81150117;Фолиевая кислота (витамин B9);Фолієва кислота (вітамін В9);;81150100;https://images.prom.ua/3229030881_folievaya-kislota-vitamin.jpg
81150120;Витамин В12;Вітамін В12;;81150100;https://images.prom.ua/3229032692_vitamin-v12.jpg
81150122;Коэнзимный витамин В;Коензимний вітамін В;;81150100;https://images.prom.ua/3229036244_koenzimnyj-vitamin-v.jpg
81150124;Комплекс витаминов группы В;Комплекс вітамінів групи B;;81150100;https://images.prom.ua/3229037823_kompleks-vitaminov-gruppy.jpg
81150201;Витамины D;Вітаміни D;;136052057;https://images.prom.ua/2133464898_vitaminy-d.jpg
81150472;Витамин D для взрослых;Вітамін D для дорослих;;81150201;https://images.prom.ua/3229043190_vitamin-d-dlya.jpg
81150473;Масляный витамин D;Масляний вітамін D;;81150201;https://images.prom.ua/3229048720_maslyanyj-vitamin-d.jpg
81150476;Кальций и витамин D;Кальцій і вітамін D;;81150201;https://images.prom.ua/3229050157_kaltsij-i-vitamin.jpg
81150477;Витамин D3 + К2;Вітамін D3 + К2;;81150201;https://images.prom.ua/3229054419_vitamin-d3-.jpg
81150479;Витамин E;Вітамін E;;136052057;https://images.prom.ua/2133466780_vitamin-e.jpg
81150481;Токоферол;Токоферол;;81150479;https://images.prom.ua/3229056894_tokoferol.jpg
81150489;Витамин K;Вітамін K;;136052057;https://images.prom.ua/2133469765_vitamin-k.jpg
81160304;Бор;Препарати бору;;136052057;https://images.prom.ua/6167721777_bor.jpg
81160308;Железо;Залізо;;136052057;https://images.prom.ua/6167720511_zhelezo.jpg
81160312;Йод;Йод;;136052057;https://images.prom.ua/6167721100_jod.jpg
81160398;Калий;Препарати калію;;136052057;https://images.prom.ua/6167721408_kalij.jpg
81160401;Кремний;Кремній;;136052057;https://images.prom.ua/4071147999_kremnij.jpg
81160408;Кальций;Кальцій;;136052057;https://images.prom.ua/3890031416_kaltsij.jpg
81160413;Магний;Магний;;136052057;https://images.prom.ua/3890065475_magnij.jpg
81160414;Магний + B6;Магній + B6;;136052057;https://images.prom.ua/6061706249_magnij--b6.jpg
81160433;Медь;Мідь;;136052057;https://images.prom.ua/6167720341_med.jpg
81160436;Молибден;Молібден;;136052057;https://images.prom.ua/6167721640_molibden.jpg
81160440;Селен;Селен;;136052057;https://images.prom.ua/3890105288_selen.jpg
81160449;Хром;Хром;;136052057;https://images.prom.ua/3890125929_hrom.jpg
81160451;Цинк;Цинк;;136052057;https://images.prom.ua/3890172882_tsink.jpg
81160454;Комплексы микроэлементов;Комплекси мікроелементів;;136052057;https://images.prom.ua/6167723011_kompleksy-mikroelementov.jpg
81301324;Гиалуроновая кислота;Гіалуронова кислота;;136052335;https://images.prom.ua/2136827803_gialuronovaya-kislota.jpg
81301328;Коэнзим Q10 и Убихинол;Коензим Q10 і Убіхінол;;136052335;https://images.prom.ua/2136828209_koenzim-q10-i.jpg
81301337;Омега 3 (Рыбий жир);Омега-3 (Риб`ячий жир);;136052335;https://images.prom.ua/2136829836_omega-3-rybij.jpg
81301338;Омега 3-6-9 (комплексы);Омега 3-6-9 (комплекси);;81301337;https://images.prom.ua/3229540531_omega-3-6-9-kompleksy.jpg
81301363;Омега для вегетарианцев;Омега для вегетаріанців;;81301337;https://images.prom.ua/3229546945_omega-dlya-vegetariantsev.jpg
81301367;Кости и суставы;Бади для кісток та суглобів;;136052335;https://images.prom.ua/2136832009_kosti-i-sustavy.jpg
81301567;Комплексы для здоровья суставов;Комплекси для здоров'я суглобів;;81301367;https://images.prom.ua/3229550527_kompleksy-dlya-zdorovya.jpg
81301610;Комплексы для здоровья костей;Комплекси для здоров'я кісток;;81301367;https://images.prom.ua/3229553352_kompleksy-dlya-zdorovya.jpg
81301615;Глюкозамин и Хондроитин;Глюкозамін і Хондроїтин;;81301367;https://images.prom.ua/3229554733_glyukozamin-i-hondroitin.jpg
